职位	薪资	工作经验	学历要求
项目经理	1.8-2.5万/月	5-7年经验	本科
高级生物信息学研究员	1-1.5万/月	3-4年经验	硕士
初级运维工程师(J13855)	6-8千/月	1年经验	本科
财务BP(J200321004)	2.5-3万/月	5-7年经验	本科
云计算研发工程师	1.5-2千/月	3-4年经验	大专
高级数字芯片设计工程师(SOC方向)3352	1.5-4万/月	3-4年经验	硕士
芯片后端设计工程师3504	2-4万/月	3-4年经验	硕士
嵌入式软件工程师-变频器研发	25-40万/年	1年经验	硕士
Senior Market Risk Consultant/Manager	1.6-4.5万/月	5-7年经验	本科
监控管理	0.8-1.5万/月	3-4年经验	本科
测试工程师	1-1.5万/月	3-4年经验	本科
高级机器视觉算法工程师	2-4万/月	3-4年经验	本科
大数据/AI课程讲师/教研员	1.5-3万/月	3-4年经验	本科
云计算（云桌面）售后工程师	1-2万/月	2年经验	大专
理工科写手论文写作	2-2.5万/月	1年经验	本科
中间件运维工程师	1.1-2.2万/月	3-4年经验	本科
培训经理-国际业务	1.2-1.8万/月	2年经验	本科
运维开发工程师：	1-1.5万/月	在校生/应届生	本科
器械专员	4.5-6千/月	1年经验	本科
资深数据研发工程师	1.8-2.5万/月	5-7年经验	本科
应用运维工程师	0.6-1.2万/月	2年经验	本科
产品分析经理	0.8-1.5万/月	3-4年经验	本科
数据技术交付经理	2.5-3.5万/月	5-7年经验	本科
研发经理	30-40万/年	在校生/应届生	博士
咨询师	1-1.5万/月	1年经验	硕士
区块链工程师	30-40万/年	3-4年经验	本科
市场研究经理	1.5-2万/月	3-4年经验	硕士
数据分析师	1.4-2万/月	3-4年经验	本科
高级Java开发工程师	1.5-2.5万/月	5-7年经验	本科
产品工程师	1.5-2万/月	3-4年经验	本科
PHP高级开发工程师	1-1.5万/月	3-4年经验	大专
Senior site IT-北京	1.2-1.5万/月	3-4年经验	本科
测试工程师	0.8-1.5万/月	2年经验	本科
CAE高级工程师	1-2万/月	2年经验	硕士
202006-人工智能算法工程师	2-3万/月	在校生/应届生	硕士
研究所 期权量化分析师	6-8千/月	在校生/应届生	硕士
前端开发工程师	1.3-2万/月	3-4年经验	大专
医学数据挖掘与分析主管/经理	1-2万/月	2年经验	硕士
自动化测试工程师（朝阳区驻场）	1-1.5万/月	3-4年经验	本科
人脸识别研发工程师（高级）	2.8-6万/月	5-7年经验	硕士
爬虫开发工程师	1.5-2万/月	3-4年经验	本科
项目经理	1-3万/月	5-7年经验	本科
计算机/软件开发教师	500元/天	3-4年经验	本科
MySQL高级顾问	1.5-3万/月	2年经验	本科
生物统计师	2-2.5万/月	2年经验	硕士
数据分析组长	7-9千/月	1年经验	大专
生物信息分析工程师	1-2万/月	1年经验	本科
数据仓库开发工程师	2-2.5万/月	3-4年经验	本科
数据库工程师	1.2-1.8万/月	3-4年经验	本科
软件测试工程师	0.8-1.2万/月	3-4年经验	本科
网络运维工程师	0.8-1.5万/月	2年经验	本科
生物信息工程师	0.5-1万/月	1年经验	本科
图像算法工程师	1.2-2万/月	无需经验	硕士
算法工程师	1.5-3万/月	1年经验	硕士
数据库工程师	1-2万/月	3-4年经验	本科
安全算法和技术研究专员	1-2万/月	1年经验	本科
嵌入式软件开发工程师	1.5-2.5万/月	3-4年经验	本科
深度学习工程师（应届博士）	3-5万/月	在校生/应届生	博士
游戏U3D客户端（高级）	1.5-3.5万/月	3-4年经验	大专
三电测试工程师	1-1.5万/月	1年经验	本科
golang开发工程师	2-5万/月	2年经验	大专
软件测试	1-1.5万/月	3-4年经验	本科
视觉软件工程师（机器人应用)	1.5-2.5万/月	2年经验	大专
中级Java工程师	1.5-2万/月	5-7年经验	本科
数据运营	0.8-1万/月	无需经验	本科
网络安全工程师	1-2.5万/月	1年经验	本科
软件工程师	1-1.5万/月	无需经验	本科
java高级开发	1.5-1.7万/月	3-4年经验	大专
前端开发工程师	1-1.5万/月	3-4年经验	本科
Java/c++开发工程师	1-1.5万/月	3-4年经验	本科
R&D 4G&5G Physical Layer Engineer	2-3.5万/月	3-4年经验	硕士
Linux系统开发工程师	1.3-2.6万/月	3-4年经验	本科
社群运营经理	1-1.5万/月	3-4年经验	大专
IT项目经理	0.8-1.5万/月	3-4年经验	本科
数据分析师	1-1.5万/月	2年经验	本科
机器人算法工程师	1.5-2万/月	2年经验	本科
数据工程师	0.7-1.2万/月	1年经验	硕士
ASIC前端设计实现/DFT 工程师(2021届毕业生）	1.5-2万/月	在校生/应届生	硕士
云产品售后	1-1.5万/月	2年经验	本科
资深后端工程师	2-3万/月	5-7年经验	本科
高薪诚聘远程软件讲师	1.5-2万/月	10年以上经验	本科
软件应用工程师	6-8千/月	3-4年经验	本科
科研合作助理	1-2万/月	在校生/应届生	硕士
全栈开发工程师	1.5-2.5万/月	5-7年经验	本科
数据仓库工程师	15-20万/年	5-7年经验	本科
ETL开发工程师（北京）	0.8-2.5万/月	3-4年经验	大专
软件测试工程师	0.8-1万/月	3-4年经验	本科
中级技术支持工程师	1.2-2万/月	8-9年经验	本科
测试工程师	1.4-1.9万/月	5-7年经验	本科
国内知名科技公司 C++工程师	20-40万/年	2年经验	大专
Oracle DBA	20-40万/年	3-4年经验	大专
数据分析师（北京）	4-7千/月	无需经验	本科
机器视觉算法工程师	1.2-2万/月	在校生/应届生	本科
实施工程师	0.8-1.5万/月	2年经验	大专
JAVA开发工程师（高级）	1.5-2.5万/月	5-7年经验	本科
大数据开发工程师	1.8-3.5万/月	5-7年经验	本科
C++实习程序（毕业转正）	0.8-2万/月	在校生/应届生	本科
售前工程师	1.8-2.5万/月	5-7年经验	大专
应用软件工程师	1-1.2万/月	1年经验	大专
FOF产品岗	2-2.5万/月	5-7年经验	本科
图像处理研究员	3-4万/月	无需经验	硕士
数据标注算法支持专员五险一金	6-9千/月	无需经验	大专
运维工程师	6-8千/月	2年经验	本科
知名互联网公司 高级后端开发工程师（内容安全）	2.5-5万/月	5-7年经验	本科
自动化运维工程师	1.5-2.5万/月	2年经验	本科
数据分析师	2-3.5万/月	3-4年经验	本科
IT运维工程师	1-1.8万/月	3-4年经验	本科
技术运营工程师	1-1.5万/月	5-7年经验	本科
嵌入式软件工程师	1.5-2万/月	2年经验	本科
售后技术支持（运维）	0.6-1万/月	2年经验	大专
运维工程师	0.7-1.3万/月	2年经验	本科
高级运维工程师	2-3万/月	5-7年经验	本科
高级JAVA开发工程师	2-3万/月	3-4年经验	本科
ETL&报表开发工程师（金融方向）	0.6-2万/月	2年经验	本科
高级测试工程师	1.5-2万/月	5-7年经验	本科
高级算法工程师	3-4.5万/月	5-7年经验	硕士
生物信息工程师	0.8-1.2万/月	1年经验	本科
大数据开发工程师	1.3-1.8万/月	2年经验	本科
软件工程师	1-1.3万/月	2年经验	本科
软件测试工程师	0.8-1万/月	3-4年经验	大专
计算机视觉算法工程师	2-3万/月	3-4年经验	本科
Linux运维工程师	1-1.5万/月	5-7年经验	本科
产品应用工程师（北京）	0.8-1.5万/月	3-4年经验	本科
软件测试工程师（Layer2/3）	28-35万/年	5-7年经验	本科
测试中高级工程师-北京	0.8-1.5万/月	3-4年经验	本科
网络运维工程师	1.5-2万/月	3-4年经验	大专
软件工程师	0.9-1.6万/月	1年经验	本科
网络产品研发经理	1.6-3万/月	3-4年经验	本科
Junior/Sr IC Design Verification/验证工程师	10-40万/年	1年经验	本科
自动化测试工程师	1-1.5万/月	3-4年经验	本科
SLAM算法工程师	1.8-3万/月	3-4年经验	本科
高级运维工程师	1-2万/月	3-4年经验	本科
web前端开发工程师	0.5-1.5万/月	2年经验	大专
医学生物信息学工程师	0.8-1.5万/月	1年经验	硕士
安全服务工程师	0.8-1万/月	2年经验	大专
运维工程师	1-1.5万/月	3-4年经验	本科
高级安全工程师（外派）	1.5-2万/月	5-7年经验	本科
oracle工程师	2-2.5万/月	3-4年经验	本科
系统工程师	1-1.5万/月	3-4年经验	本科
列控软件研发工程师	1-1.5万/月	3-4年经验	本科
高级软件工程师	2.5-3万/月	5-7年经验	本科
生物信息研发工程师（业余）	1-1.5万/月	3-4年经验	硕士
网络工程师	1.5-2万/月	5-7年经验	大专
爬虫开发工程师	1.5-2万/月	3-4年经验	本科
人工智能算法实习生	200元/天	在校生/应届生	本科
