职位	薪资	工作经验	学历要求
2020校招-芯片测试工程师	0.8-1万/月	在校生/应届生	本科
数据挖掘实习生	6-8千/月	在校生/应届生	本科
全栈工程师	2.5-3万/月	1年经验	本科
测试开发工程师	2.5-3万/月	1年经验	本科
数据工程师-转换编译方向3320	1.5-2万/月	3-4年经验	本科
生信工程师（初级）	0.8-1.5万/月	无需经验	本科
生信工程师（实习生）	6-8千/月	无需经验	硕士
测试工程师-NDS	1-2万/月	在校生/应届生	本科
系统架构师	4-4.5万/月	5-7年经验	本科
数据架构师	2-3万/月	5-7年经验	本科
P0090-安全技术专家	1.5-3万/月	5-7年经验	本科
中高级测试工程师（GY1bh）(J11968)	1-2万/月	3-4年经验	本科
P0068-测试工程师	0.8-1.6万/月	2年经验	本科
Senior Data Modeler 高级数据分析师	2.5-3.5万/月	5-7年经验	本科
P0034-软件技术专家	2.5-3.5万/月	5-7年经验	本科
P0033-高级测试工程师	1.2-2.4万/月	3-4年经验	本科
P0029-后台开发工程师	0.8-1.5万/月	2年经验	本科
P0022-软件测试工程师	0.8-1.5万/月	2年经验	本科
P0021-后台开发工程师	0.8-1.5万/月	2年经验	本科
P0018-后台开发工程师	0.8-1.5万/月	2年经验	本科
P0015-后台开发工程师	0.8-1.5万/月	2年经验	本科
P0014-软件测试工程师	0.8-1.4万/月	2年经验	本科
数据分析师	1.5-2.5万/月	2年经验	本科
java开发工程师	1.4-2.5万/月	3-4年经验	大专
测试开发工程师	1-1.5万/月	2年经验	本科
高级运维开发工程师	2-4万/月	5-7年经验	本科
项目经理	1.5-2万/月	5-7年经验	本科
大数据资深架构师	45-100万/年	5-7年经验	本科
C++研发工程师	30-70万/年	10年以上经验	本科
高级java开发工程师	30-70万/年	10年以上经验	本科
高级全栈开发工程师	30-70万/年	10年以上经验	本科
Senior Software Engineer	1.5-2万/月	3-4年经验	本科
Principal Software Engineer	2-3.5万/月	5-7年经验	本科
高级嵌入式软件工程师（应用开发）	1.5-2.5万/月	3-4年经验	本科
IPOS Dev.	1.5-2.5万/月	3-4年经验	本科
Site Reliability Engineer	1.5-2.5万/月	5-7年经验	本科
高级测试工程师	1-2万/月	2年经验	本科
LTE/5G Radio Software developer	2-3万/月	5-7年经验	本科
数通测试工程师	1.2-1.8万/月	1年经验	本科
Linux c++开发	1.4-2万/月	1年经验	本科
LTE/5G 协议测试工程师	1.5-2.5万/月	3-4年经验	本科
高级生信工程师	0.9-1.2万/月	在校生/应届生	硕士
基因组组装算法研究科学家	2-3万/月	在校生/应届生	博士
IT经理(J10752)	1.5-2.5万/月	3-4年经验	本科
嵌入式白盒测试工程师	1-1.4万/月	3-4年经验	本科
高级软件测试工程师	1.5-3万/月	5-7年经验	本科
派单调度算法专家	4-6万/月	5-7年经验	本科
数据研发专家	3-6万/月	5-7年经验	本科
高精地图引擎研发工程师	25-40万/年	5-7年经验	本科
高精地图在线服务研发工程师	25-40万/年	3-4年经验	本科
高精地图引擎研发工程师	25-40万/年	5-7年经验	本科
高级C++软件工程师	1.6-3万/月	3-4年经验	本科
后台开发工程师 (MJ003041)	2-4万/月	3-4年经验	本科
NLP算法实习生 (MJ003176)	2-4千/月	在校生/应届生	本科
自然语言处理算法工程师 (MJ003155)	2.5-5万/月	3-4年经验	本科
高级推荐算法工程师 (MJ003257)	3-6万/月	3-4年经验	本科
java全栈工程师	1.1-1.3万/月	2年经验	大专
Web前端开发工程师	1-1.2万/月	2年经验	大专
测试实习生	200元/天	在校生/应届生	本科
运维工程师	1.2-1.8万/月	在校生/应届生	本科
搜索推荐算法工程师	1.2-1.8万/月	在校生/应届生	本科
高级数据库工程师	20-30万/年	5-7年经验	本科
推荐算法工程师（2021届校招）	1.2-1.8万/月	在校生/应届生	硕士
大数据运维工程师	3-4万/月	5-7年经验	本科
高级测试开发工程师	3-4.5万/月	5-7年经验	本科
数字IC设计工程师	2.5-4万/月	3-4年经验	硕士
用户增长产品经理	2.5-4万/月	5-7年经验	本科
资深GO工程师	2.5-4万/月	5-7年经验	本科
通信算法工程师	3-4万/月	3-4年经验	本科
资深DBA工程师	3-4.5万/月	5-7年经验	本科
商业分析负责人	5-7万/月	8-9年经验	本科
运维安全专家	2.5-4万/月	5-7年经验	本科
推荐算法工程师	3-5万/月	3-4年经验	本科
高级Devops工程师	3-4.5万/月	5-7年经验	本科
资深数据分析	3-4.5万/月	5-7年经验	本科
资深测试工程师	3-4.5万/月	5-7年经验	本科
资深数据仓库工程师	3-4万/月	5-7年经验	本科
高级JAVA工程师	2-4万/月	3-4年经验	本科
Oracle数据库工程师	1-1.5万/月	2年经验	本科
ETL数据工程师	1.2-1.6万/月	2年经验	本科
运维工程师	1.5-3万/月	3-4年经验	本科
教研教学（大数据方向）	1.5-2万/月	2年经验	本科
生物信息工程师	0.8-1.5万/月	1年经验	本科
测试工程师	6-8千/月	2年经验	大专
测试工程师	1-1.5万/月	2年经验	大专
前端开发	1-1.5万/月	3-4年经验	本科
C/C++开发	1-1.5万/月	3-4年经验	本科
PHP开发	1-1.5万/月	3-4年经验	本科
技术支持	0.8-1.6万/月	在校生/应届生	本科
招经济，统计以及金融等文章撰写老师	400元/天	1年经验	本科
经济学/统计学英文老师	400元/天	1年经验	本科
计算机网页制作师	500元/天	1年经验	本科
线上***tutor	400元/天	1年经验	本科
C语言开发工程师	500元/天	1年经验	硕士
计算机程序员	500元/天	1年经验	本科
测试（偏开发）	1.5-2.5万/月	3-4年经验	本科
Oracle DBA	1-2.5万/月	3-4年经验	本科
服务端开发工程师	0.7-2.5万/月	2年经验	本科
C#软件开发岗	1-2万/月	1年经验	本科
AI视觉算法工程师	1.5-2.5万/月	2年经验	本科
人工智能图像应用工程师	1.5-2.5万/月	2年经验	本科
策略算法工程师	1.5-2万/月	2年经验	本科
人工智能算法研究员	1.5-2万/月	1年经验	硕士
全栈工程师	1.5-2.5万/月	3-4年经验	本科
软件测试工程师	0.8-1万/月	2年经验	本科
数据分析	1.5-2万/月	3-4年经验	大专
前端开发工程师	1.2-2万/月	3-4年经验	大专
高级安全工程师 (MJ000930)	2.7-5.4万/月	3-4年经验	本科
运维开发工程师 (MJ000932)	2.1-3.9万/月	3-4年经验	本科
架构师（企业云建设） (MJ001128)	4-6.9万/月	10年以上经验	本科
架构师（服务治理） (MJ001113)	4-6.9万/月	8-9年经验	本科
运维开发工程师 (MJ001110)	2.1-2.7万/月	5-7年经验	本科
高级Web/前端架构师 (MJ000967)	2.7-5.4万/月	5-7年经验	本科
架构师（服务治理） (MJ001113)	4-6万/月	8-9年经验	本科
架构师（企业云建设） (MJ001128)	4-6万/月	8-9年经验	本科
测试开发工程师	2-2.7万/月	3-4年经验	本科
高级测试开发工程师（企业金融） (MJ001028)	2.1-3.9万/月	5-7年经验	本科
测试开发专家 (MJ001192)	4-5.4万/月	5-7年经验	本科
高级Web前端工程师 (MJ001108)	2.7-5.4万/月	5-7年经验	本科
高级测试开发工程师 (MJ001107)	2.7-3.9万/月	5-7年经验	本科
高级网络架构师 (MJ000933)	2.7-5.4万/月	5-7年经验	本科
测试开发专家 (MJ001192)	4-5.4万/月	8-9年经验	本科
架构师（支付） (MJ001114)	4-7万/月	8-9年经验	本科
测试开发工程师 (MJ001028)	2.1-3.9万/月	5-7年经验	本科
资深算法工程师 (MJ001199)	2.5-5万/月	3-4年经验	本科
资深算法工程师 (MJ001199)	2.5-5万/月	3-4年经验	本科
资深算法工程师 (MJ001199)	2.5-5万/月	3-4年经验	本科
资深算法工程师 (MJ001199)	2.5-5万/月	3-4年经验	本科
数据分析专员 (MJ001206)	0.9-1.8万/月	3-4年经验	本科
风控项目经理 (MJ001182)	1.8-3.5万/月	3-4年经验	本科
风控产品经理 (MJ001181)	1.5-3.9万/月	5-7年经验	本科
生物信息研发工程师（新产品临床应用方向）	0.9-1.5万/月	1年经验	本科
高级生物信息工程师（流程优化迁移）	1.4-2万/月	2年经验	硕士
生物信息工程师（临检方向）	0.8-1.2万/月	在校生/应届生	本科
软件测试工程师	1-1.5万/月	1年经验	本科
并行算法工程师	1.5-3万/月	1年经验	硕士
CAE前处理算法工程师	2-4万/月	2年经验	硕士
数据采集工程师-北京	4.5-6千/月	1年经验	大专
大数据分析工程师	1.2-2.2万/月	3-4年经验	大专
高级生物信息工程师（IVD产品方向）	1-1.5万/月	1年经验	本科
高级生物信息工程师（科服方向）	1-1.8万/月	2年经验	本科
大数据ETL开发工程师-北京-00195	1.2-1.8万/月	3-4年经验	大专
高薪急聘运维工程师 急	1-1.8万/月	无需经验	本科
高薪急聘运维工程师	1-1.8万/月	无需经验	本科
急聘运维工程师1名	1-1.8万/月	无需经验	本科
运维工程师	1-1.8万/月	无需经验	本科
中级大数据开发人员	16-30万/年	3-4年经验	本科
高级大数据开发人员	16-30万/年	5-7年经验	本科
大数据分析人员	16-24万/年	3-4年经验	本科
系统开发工程师	10-15万/年	1年经验	本科
DevOps工程师	16-24万/年	3-4年经验	本科
中级数据采集人员	16-30万/年	3-4年经验	本科
资深软件研发工程师-自动驾驶	1.5-3万/月	5-7年经验	本科
数据分析师	1-1.5万/月	2年经验	本科
软件工程师	1.5-3万/月	3-4年经验	本科
软件开发工程师	1.5-2.5万/月	1年经验	本科
数据专家data expert）	2-4万/月	3-4年经验	硕士
测试工程师	1-2万/月	3-4年经验	本科
大数据运维开发工程师	2-2.5万/月	2年经验	本科
威胁情报分析师	4-5万/月	3-4年经验	本科
安全产品研究员	3-4万/月	3-4年经验	本科
大数据系统研发工程师	3-4万/月	5-7年经验	本科
大数据研发工程师	2.5-3万/月	3-4年经验	本科
测试开发工程师-移动端	2-2.5万/月	10年以上经验	本科
测试开发工程师	2-2.5万/月	5-7年经验	本科
软件测试工程师	1.5-2.5万/月	5-7年经验	本科
自动化开发工程师（实习生）	260元/天	在校生/应届生	本科
软件测试工程师	1.5-2.5万/月	3-4年经验	本科
服务端开发工程师	2.5-4万/月	3-4年经验	本科
全栈工程师	3-4万/月	3-4年经验	本科
安全分析开发工程师	3-4万/月	2年经验	本科
服务端开发工程师	2.5-3万/月	3-4年经验	本科
地图算法工程师	2-4万/月	5-7年经验	本科
网络爬虫研发工程师	2-3万/月	3-4年经验	本科
测试开发工程师	1.2-1.7万/月	3-4年经验	本科
地图引擎研发专家	2-4万/月	5-7年经验	本科
运维开发工程师	1-1.5万/月	3-4年经验	本科
中级数据分析师	1.5-2万/月	5-7年经验	本科
实施工程师	1.5-2万/月	3-4年经验	本科
售前工程师	1.5-2.5万/月	3-4年经验	本科
音频算法工程师	2-4万/月	2年经验	硕士
前端音频算法工程师（实习）	4.5-6千/月	在校生/应届生	本科
算法测试工程师	0.8-1.2万/月	2年经验	本科
Linux C /C++ 高级研发工程师	2.5-3.5万/月	8-9年经验	硕士
少儿编程讲师（上市公司+五险一金）	0.8-1.5万/月	无需经验	本科
少儿编程讲师-java	0.8-1.5万/月	无需经验	本科
少儿编程讲师-scratch	0.8-1.5万/月	无需经验	本科
少儿编程讲师-C++	0.8-1.5万/月	无需经验	本科
少儿编程讲师-web前端	0.8-1.5万/月	无需经验	本科
c++算法工程师	1.2-2.5万/月	5-7年经验	本科
测试工程师兼产品经理助理（职位编号：LZHR194）	1.5-2万/月	3-4年经验	本科
算法研究员	1.5-2万/月	3-4年经验	硕士
Linux测试工程师（计算机设备方向）	0.8-1.6万/月	2年经验	本科
Linux操作系统工程师	1-2万/月	2年经验	本科
数据工程师	1.5-3万/月	2年经验	本科
软件开发工程师（地理信息系统/气象海洋）	1-2万/月	2年经验	本科
自然语言处理NLP高级工程师(J5)	1.5-2.5万/月	3-4年经验	本科
自然语言处理NLP工程师(J5)	1.5-2.5万/月	3-4年经验	本科
测试验证工程师（J4）	1-2万/月	2年经验	本科
渗透测试工程师（计测）	0.8-1.6万/月	3-4年经验	本科
人工智能（AI）软件开发工程师	1.5-2.5万/月	2年经验	本科
少儿编程老师	0.8-1.2万/月	2年经验	本科
Java讲师	0.8-1.2万/月	1年经验	本科
编程老师	0.8-1.2万/月	1年经验	本科
数据爬取与分析工程师	1.2-2.5万/月	5-7年经验	本科
攻防渗透专家	2-4万/月	5-7年经验	本科
产品经理	1.5-2万/月	3-4年经验	本科
数据分析师	0.8-1.5万/月	1年经验	本科
智能数据算法高级研究员	3-4万/月	5-7年经验	硕士
边缘推理算法研究员	2.5-3万/月	5-7年经验	本科
软件开发工程师	2-2.5万/月	3-4年经验	本科
运维工程师(014940)	0.8-1.5万/月	1年经验	本科
培训开发讲师(014981)	1.5-2万/月	5-7年经验	本科
高级开发迁移开发工程师(014775)	2-2.5万/月	5-7年经验	本科
高级运维开发工程师(014772)	2-2.5万/月	8-9年经验	本科
高级测试工程师(015150)	1.5-2万/月	5-7年经验	本科
中高级软件开发工程师(014892)	2-2.5万/月	5-7年经验	本科
高级运维实施工程师(015316)	2-2.5万/月	5-7年经验	本科
高级大数据开发工程师(015033)	1.5-2万/月	5-7年经验	本科
运维开发经理(015599)	2-2.5万/月	5-7年经验	本科
高级运维工程师(015755)	2.5-3万/月	5-7年经验	本科
高级DBA(015750)	2-2.5万/月	5-7年经验	本科
AI软件开发工程师(015691)	2-2.5万/月	2年经验	本科
前端开发工程师(016090)	1-1.5万/月	2年经验	本科
IT培训讲师(016082)	1-1.5万/月	2年经验	本科
酒店业务培训生(北京)—2021届秋(J20792)	1-1.5万/月	在校生/应届生	本科
在线讲师	0.8-1.2万/月	1年经验	本科
测试工程师	0.8-1.2万/月	1年经验	本科
5G 高速接口FPGA/ASIC开发工程师	1.5-2.5万/月	无需经验	硕士
系统架构师	2.5-3万/月	3-4年经验	本科
数据库工程师	1-2万/月	3-4年经验	本科
ETL开发工程师	1-2万/月	1年经验	本科
数据库工程师	0.8-2万/月	1年经验	本科
大数据分析师	1.5-3万/月	3-4年经验	硕士
大数据分析与应用岗	1.5-3万/月	3-4年经验	硕士
系统运维工程师-昌平	1-1.5万/月	2年经验	大专
iOS开发工程师	1.5-2万/月	2年经验	本科
运维工程师（电话会议方向）	1-1.2万/月	3-4年经验	大专
Web前端开发工程师（视频会议）	1.5-2万/月	2年经验	本科
直播运维工程师	0.8-1.2万/月	3-4年经验	大专
大数据开发工程师	1.5-3万/月	3-4年经验	大专
Java开发工程师	0.8-1.8万/月	3-4年经验	本科
运维工程师	0.6-1.5万/月	2年经验	本科
运维工程师（出差）	1-2万/月	2年经验	本科
大数据开发工程师	1.4-2.8万/月	3-4年经验	本科
大数据产品经理	1.8-3.6万/月	3-4年经验	本科
运维工程师	0.6-1.2万/月	5-7年经验	本科
软件实施工程师	6-8千/月	2年经验	大专
高级前端开发工程师	1.8-3万/月	5-7年经验	本科
后端开发工程师	1.5-3万/月	3-4年经验	本科
资深前端研发工程师	2-3万/月	5-7年经验	本科
数据算法工程师	1.5-2.3万/月	3-4年经验	本科
大数据开发工程师	2-3万/月	5-7年经验	本科
大数据架构师	2-4万/月	5-7年经验	本科
大数据工程师	1.5-2.5万/月	3-4年经验	本科
软件工程师	1.5-2万/月	3-4年经验	本科
软件测试工程师	0.6-1万/月	2年经验	大专
DNS技术专家	2-3万/月	3-4年经验	硕士
测试工具开发工程师	1.5-2.5万/月	3-4年经验	本科
初级运维工程师(J13825)	0.8-1.3万/月	2年经验	本科
数据分析专家(J200310016)	1.5-2万/月	3-4年经验	本科
资深前端开发工程师(J190409008)	2-2.5万/月	3-4年经验	本科
java开发资深/专家(J200420033)	2-2.5万/月	3-4年经验	本科
后台高级/专家工程师(J200218012)	2.5-3万/月	3-4年经验	本科
数据分析高级专员(J200330012)	1-1.5万/月	3-4年经验	本科
